"beerGraphs$Brewery[i]","beerGraphs$Location[i]","lon","lat"
"Ajeper S.A.","",NA,NA
"Collaboration: Avery / Russian River","",NA,NA
"Privatbrauerei A. Rolinck","DE",NA,NA
"Red River Brewing Co.","",NA,NA
"Tilted Kilt Pub & Eatery","",NA,NA
"Rhinegeist","",NA,NA
"Hackney Brewery","",-0.1223564,51.5448766
"Day Block Brewing Company","",NA,NA
"Universal Studios Florida Diagon Alley","",NA,NA
"Britton Brewhouse","",NA,NA
"Reed's","",-74.8683687,40.0788481
"T.Y. Harbor Brewery","港区, 東京都, JP",139.7515992,35.6580681
"Apocalypse Brew Works (Kentucky)","Louisville, KY, US",-85.7584557,38.2526647
"Portico Brewing Company","Boston, MA, US",-71.0588801,42.3600825
"Pour Decisions Brewing Company","Roseville, MN, US",-93.1566107,45.0060767
"Grainstore Brewery","GB",-3.435973,55.378051
"Buffalo Water Beer Company","",-78.8783689,42.8864468
"Hi-Fi Brewing","",NA,NA
"Chimay Pères Trappistes","",4.31472,50.04756
"Berkley Beer Company","",NA,NA
"Birra Stavio","Velletri, RM, IT",12.7785347,41.6868422
"Huntington Beach Beer Company","Huntington Beach, CA, US",-117.9992265,33.660297
"Brouwerij Lupus","Aarschot, Vlaams-Brabant, BE",4.8365218,50.9859959
"Jungle Beer","Singapore,                   SG",103.8677444,1.3553794
"Yria","",NA,NA
"True South","Black Rock, VIC, AU",145.01651,-37.973949
"Volkan Beers","Αθήνα, Αττική, GR",23.7293599,37.983917
"Stones","",-0.5308289,50.9960541
"Lech Browary Wielkopolski (SABMiller)","",NA,NA
"Aukstaitijos Bravorai","",NA,NA
"Twelve Degree Brewing","",NA,NA
"NOLA/Stone Breweries","",NA,NA
"Royal City Brewing","",-68.7961386,44.7975202
"Grainfed Brewing Company","",NA,NA
"The Wall","",-109.6161111,44.5866666
"Copperlake Breweries","",NA,NA
"Fair Winds Brewing Company","",NA,NA
"Brauhaus Riegele","",NA,NA
"Cervecería Calavera","Tlalnepantla, MEX, MX",-99.1907364,19.5345279
"Bollington Brewing Co.","GB",-3.435973,55.378051
"Wadadli","",NA,NA
"Dommelsche Bierbrouwerij (ABInBev)","NL",NA,NA
"Big City Brewing Company","Kingston, Kingston, JM",-76.782702,17.9683271
"Gypsy Hill","",-80.2895792,39.4137025
"Brauerei Ganter","Freiburg im Breisgau, Baden-Württemberg, DE",7.8586,47.9892635
"Gauden Bier","",NA,NA
"Buddelship","",NA,NA
"Privatbrauerei M.C. Wieninger","Teisendorf, BY, DE",12.81915,47.8497803
"Freigeist Bierkultur","Stolberg, Nordrhein-Westfalen, DE",6.2251934,50.7730884
"Herkimer Pub & Brewery","Minneapolis, MN, US",-74.9859889,43.0256259
"Langham Brewery","",-2.2931333,51.0374634
"Mountain Man Brewing Ltd.","",NA,NA
"Cerveceros artesanos de Castilla y León","",-101.6859605,21.1250077
"Thomas Creek Brewery","Greenville, SC, US",-82.3940104,34.8526176
"Lagar Sidra Castañon","",NA,NA
"Byatts","Coventry, Warwickshire, GB",-1.519693,52.406822
"Collaboration: Ringnes / Brooklyn Brewery","",NA,NA
"Shongweni Brewery","Hillcrest, KwaZulu-Natal, ZA",30.7867129,-29.7694486
"Vocation","",-108.9424876,44.665575
"Banjalučka Pivara","Banja Luka, Republika Srpska, BA",17.191,44.7721811
"Brasserie De La Senne / Tired Hands","",NA,NA
"Freiberger Brauhaus (Radeberger Gruppe)","Freiberg,                   DE",13.341727,50.9128283
"Sonnet43","",4.6022588,51.8651454
"Little Bang Brewing Co","",NA,NA
"Lysefjorden Mikrobryggeri","",NA,NA
"Bundaberg Distillery Co.","",152.348653,-24.8649629
"Empresa de Cervejas da Madeira","Funchal, Madeira, PT",-16.9240554,32.6669328
"Fallentimber Meadery","",NA,NA
"Gritty McDuff's Brewing Company","Portland, ME, US",-70.2553259,43.661471
"River Rat Brewery","",NA,NA
"Lone Peak Brewery","Ennis, MT, US",-111.7318796,45.3491133
"Strange Brewing","",-2.752109,52.7029916
"Richmodis-Bräu, formerly Brauhaus Fried. Winter (Privatbrauerei Gaffel Becker)","",NA,NA
"London Beer Factory","",-0.1277583,51.5073509
"Three Skulls Brewing","Seattle, WA, US",-122.3320708,47.6062095
"Barrel House Brewing Co.","Cincinnati, OH, US",-84.5120196,39.1031182
"Brauhaus Georgbraeu","Berlin, Berlin, DE",13.404954,52.5200066
"La Buttiga","Piacenza, PC, IT",9.6929845,45.0526206
"Hairless Hare Brewery","",NA,NA
"Ipswich Ale Brewery","Ipswich, MA, US",-70.8411558,42.6791832
"Pathumthani Brewery","",NA,NA
"Butcher And The Brewer","",-107.8214692,37.9422901
"Cheddar Ales","",-2.7721353,51.2803064
"Master","",49.77671,34.6314542
"Fischer's Stiftungsbräu","",NA,NA
"Twin Leaf Brewery","",NA,NA
"Shiroyama Brewery","鹿児島市, 鹿児島県, JP",130.5571158,31.5965535
"Montucky Cold Snack","",NA,NA
"Ruth McGowan's Brewpub","Cloverdale, CA, US",-123.0172227,38.8054624
"CRAK Brewery","",NA,NA
"Lake Of The Woods Brewing Company","Kenora, Ontario, CA",-94.4893924,49.7670416
"St Ives Brewery","",-5.4377092,50.1851893
"Chiemgauer Brauhaus","Rosenheim,                   DE",12.1181047,47.8571272
"Mary's Newtown","",-2.1337637,51.0528203
"North Mountain Brewing Company","Phoenix, AZ, US",-112.0740373,33.4483771
"Troegs Scratch 104","",NA,NA
"Gotemba Kogen Beer Co.","御殿場市, 静岡県, JP",138.9345062,35.3085842
"Astigarragako Sagadoa","",NA,NA
"Saugatuk Brewing Company","",NA,NA
"Preston Ale","",-2.7013947,53.7700801
"Picachos Brewing Co.","",NA,NA
"Independent Brewing Company Of Ireland","",NA,NA
"West Flanders Brewing Co.","Boulder, CO, US",-105.2705456,40.0149856
"Liberty Village Brewing Co.","",-71.1161679,42.3114548
"Perro Libre","",-82.4385653,8.4209484
"Strathbraan Brewery","",NA,NA
"Lahnsteiner Brauerei","Lahnstein, Rheinland-Pfalz, DE",7.6093633,50.3078274
"Brickside Brewery","Copper Harbor, MI, US",-87.8903203,47.4683113
"Salamander Brewing Company","Bridge Street, West Yorkshire, GB",-1.76261,53.8108176
"Heartly Craft Brewery","",NA,NA
"Crafty Dan","",-2.4244075,52.7271453
"Brasserie St Germaine","",3.0901884,49.7779579
"Krogh's Restaurant & Brew Pub","Sparta, NJ, US",NA,NA
"Barley Days Brewery","",NA,NA
"The Prodigal Son Brewery","Pendleton, OR, US",-118.7885967,45.672075
"Boulder Creek Brewing Company","Boulder Creek, CA, US",-122.1221869,37.1260578
"New Holland","",-76.085227,40.1017643
"Bill's Tavern & Brewhouse","Cannon Beach, OR, US",-79.200257,37.9256761
"McCall Brewing Company","McCall‎, ID, US",-116.0987364,44.911006
"Cannon Brewpub","Columbus, GA, US",-84.9877094,32.4609764
"Fiasco Brewing Company","",NA,NA
"The Curious Company","",NA,NA
"Gower Brewery","Gower, Swansea, GB",-4.098154,51.572185
"Crooked Line","",-87.5494438,39.4306975
"Beirens","",4.4789876,51.194552
"Solid Rock Brewery","",NA,NA
"Istarska Pivovara","",NA,NA
"Sound Brewing","",NA,NA
"Texas Beer Refinery","",-99.9018131,31.9685988
"OWA Brewery","Uccle / Ukkel, Brussels, BE",4.34067,50.8023982
"Manitoba","",-98.8138763,53.7608608
"Delafield Brewhaus","Delafield, WI, US",-88.4037079,43.060842
"Cheetah International Brewers","Scarborough, ON, CA",-79.2317521,43.7764258
"Sweetwater Brewery (homebrew)","",-100.4059384,32.4709519
"Shiretown Brewing (Cafe Artisan)","",NA,NA
"Kilannan Brewing Company","Owen Sound, Ontario, CA",-80.9405602,44.5690305
"The Front","",-92.2964091,31.0134476
"Birradamare","Fiumicino, RM, IT",12.2397117,41.7735409
"Altenburger Brauerei","DE",12.497219,50.85633
"Wood's","Craven Arms, Shropshire, GB",-2.8813718,52.4790156
"Landel","",2.819528,45.1909149
"Propolis","",NA,NA
"Three Monkeys Brazil","",NA,NA
"Kaiser Bräu","Neuhaus (Pegnitz),                   DE",11.5542389,49.6299361
"3 Brothers Brewery","",34.628186,31.370559
"Valkyrie Brewing Co","",NA,NA
"450 North Brewing Company","Columbus, IN, US",-85.9213796,39.2014404
"Salish Sea","",-123.1406752,48.3295258
"O'so Brewing Company","",NA,NA
"The Blue Ridge Brewing Company","Greenville, SC, US",-82.3940104,34.8526176
"Glenwood Canyon Brewing Company","Glenwood Springs, CO, US",-107.3247762,39.5505376
"Bad Jimmy's Brewing Co","Seattle, WA, US",-122.3320708,47.6062095
"Kauzen-Bräu","Ochsenfurt, Bavaria, DE",10.0709014,49.6640025
"ZEOS Brewing Co.","",NA,NA
"Midtfyns / De Molen","",NA,NA
"Stone Arch Brewery","Appleton, WI, US",-88.4153847,44.2619309
"Cerveza Victoria","",-98.2272758,21.3643603
"Brew Rebellion","",NA,NA
"Old Firehouse Brewery","",-4.2106026,51.0165811
"Blue & Gray Brewing","Fredericksburg, VA, US",-86.9277871,30.8319355
"Cincinnati Collaboration","",-84.5120196,39.1031182
"Blue Corn Cafe and Brewery","Santa Fe, NM, US",-105.937799,35.6869752
"Brasserie Saint-Germain (French Craft Brewers)","Bully-les-mines,                   FR",2.720937,50.446598
"Kannah Creek Brewing Company","Grand Junction, CO, US",-108.5506486,39.0638705
"Whitehorse Brewing LLC","",-135.0568449,60.7211871
"Naparbier/Nogne","",NA,NA
"Bayura","",NA,NA
"The White Hag Irish Brewing Company","",NA,NA
"The Gamble Mill Restaurant & Microbrewery","Bellefonte, PA, US",NA,NA
"Brasserie de Marsinne","BE",NA,NA
"Pivovar Holba","Hanušovice,                   CZ",16.931389,50.071667
"La Cerveza Del Pacifico","",NA,NA
"Brauerei Wagner","96052, Bamberg, DE",10.896473,49.9128934
"Elbrewery (Zywiec Group/Heineken)","",NA,NA
"Casa Beer","",28.3027232,-25.7645694
"Birbant","",NA,NA
"Jefferson Street Brewery","Lynchburg, VA, US",-79.1422464,37.4137536
"Bohemia Regent","",-121.3769488,38.6264467
"Three Barrel Brewing","Del Norte, CO, US",-106.3533683,37.6788919
"Beard and Brau Brewery","Modbury, SA, AU",138.6875812,-34.8304234
"Bogota Beer Company","",-74.072092,4.7109886
"Firkin Group of Pubs","Markham, ON, CA",-79.3370188,43.8561002
"Stadsbrouwerij De Ridder","",NA,NA
"Klamath Basin Brewing","Klamath Falls, OR, US",-121.7816704,42.224867
"Yak and Yeti","Arvada, CO, US",-105.0874842,39.8027644
"Collaboration: Sierra Nevada / Asheville Brewer's Alliance","",NA,NA
"Innstadt Brauerei","Passau, Bayern, DE",13.4319466,48.5667364
"White Marsh Brewing Company","Baltimore, MD, US",-76.6121893,39.2903848
"Collaboration: Lervig / Nøgne Ø","",NA,NA
"Falling Sky Brewing","Eugene, OR, US",-123.0867536,44.0520691
"The Famous Grouse","Crieff, Perthshire, GB",-3.435973,55.378051
"Timo Krjukoff","",NA,NA
"Block House Brewing","",NA,NA
"Reptilian","",NA,NA
"Desert Edge Brewery","Salt Lake City, UT, US",-111.8910474,40.7607793
"Cervecería Peruanas Backus y Johnston","",NA,NA
"Troubadour","",4.1111016,51.9122802
"Dirty Bucket Brewing Co.","Woodinville, WA, US",-122.1634582,47.7542651
"FrEQuency","",NA,NA
"Craft Liquors","千代田区, 東京都, JP",139.7535951,35.6940027
"Lithuania Kalnapilis Beer","",NA,NA
"Lederer Bräu","Nürnberg, Bayern, DE",11.07675,49.45203
"Lotte Chilsung","",NA,NA
"Zago","Prata di Pordenone, Friuli-Venezia Giulia, IT",12.6007083,45.9020153
"Lone Tree Brewing","",-104.8970678,39.536482
"Spoonwood Brewing Co.","",NA,NA
"Pressmans Cider","",NA,NA
"Moles Brewery","",NA,NA
"Magpie Brewing","서울특별시,                   KR",126.9779692,37.566535
"The Lost Abbey / Elysian Collaboration","",NA,NA
"Seventh Son","",-108.1626385,32.7736577
"Red Island Brewing Company","",NA,NA
"Lake Superior Brewing","Duluth, MN, US",-92.1004852,46.7866719
"Cervejaria Penedo","",NA,NA
"Old Time Brewing","Camberwell, VIC, AU",145.0693626,-37.8425667
"Gemünder Brauerei","Kall, Nordrhein-Westfalen, DE",6.5625303,50.5418388
"Texian Brewing Co","Richmond, TX, US",-95.7607832,29.5821811
"American Brewing Company","Edmonds, WA, US",-122.3773552,47.8106521
"Kauai Island Brewery","Port Allen, HI, US",-155.5827818,19.8967662
"Isle of Skye Brewing Company","GB",-3.435973,55.378051
"Panonska Pivovara","",NA,NA
"Headlands Brewing Co","",-81.3503746,41.6974901
"Carolina Ale House","",NA,NA
"Apple Blossom Brewing Company","",NA,NA
"Les Brasseurs de la Grand Place de Bruxelles","Brussels, Brussels, BE",4.3518041,50.8460679
"Mt. Hood Brewing","Government Camp, OR, US",-121.7547998,45.3040072
"Big Bear Brewing Co. (Florida)","Coral Springs, FL, US",-80.2706044,26.271192
"Surlie Brewing","",NA,NA
"Köstritzer Schwarzbierbrauerei","",NA,NA
"Pater Lieven","",3.0659291,50.8923413
"MashCraft Brewing","",NA,NA
"Sidra Trabanco, S.A.","",NA,NA
"Birra del Carrobiolo","Monza, MB, IT",9.2744485,45.5845001
"St Pieters Abdij","",3.6162854,51.5011074
"Schöfferhoffer","",NA,NA
"Paulener","",121.4745174,31.2207353
"Gröninger Privatbrauerei","Hamburg,                   DE",9.9936818,53.5510846
"De Leyerth Brouwerijen","Aalter, Oost-Vlaanderen, BE",3.448371,51.087349
"La Quinta Brewing","",NA,NA
"Punt Road Wines","",NA,NA
"West Coast Brewing","Westport, West Coast, NZ",171.6058903,-41.7545216
"Dunham Massey Brewing Company","Dunham Massey, Greater Manchester, GB",-2.4164481,53.3926522
"Beer Studio","",NA,NA
"Pivovar v Hurbanove","",NA,NA
"Estrella de Galicia","",-99.0776384,19.3191054
"Abrahalls","",NA,NA
"Issaquah Brewhouse (Rogue Ales)","Issaquah, WA, US",-122.0326191,47.5301011
"Thorne Street Brewery","",-0.8324191,53.6141096
"Earls Restaurants","North Vancouver, BC, CA",-123.0732801,49.3269904
"Quantock","",-106.082497,49.174309
"Podgórz","",21.8917123,51.2911317
"Tin Mill Brewery","US",NA,NA
"Freehouse","",1.3024315,52.6378513
"Quantum","Stockport,                   GB",-2.1886499,53.3737831
"Wapping","Liverpool, Merseyside, GB",-2.9867772,53.3983749
"Jasper Murdock's Alehouse","Norwich, VT, US",-72.307869,43.7153482
"Spiteful Brewing","",NA,NA
"Bowman Brewery","",-87.2913906,30.5082269
"Taps Brewing Company","Niagara Falls, NY, US",-79.0377388,43.0962143
"JoBoy's Brew Pub","Manheim, PA, US",-76.3949614,40.1634279
"VAP Kougios","",NA,NA
"Choice Bros","",NA,NA
"Mojiko Retro Beer Co., Ltd.","",NA,NA
"Harvest Moon Cidery","",NA,NA
"Big Timber Brewing","",-109.9540644,45.8343543
"Biltmore Brewing","",NA,NA
"Cains","Liverpool, Merseyside, GB",-2.9568026,53.3921928
"Bo Bristle","",-0.9897154,51.9990911
"Heinzelmannchen Brewery","Sylva, NC, US",-83.2259803,35.3737111
"Black Barrell","",-84.5008519,34.6535931
"Birrificio Argo","",NA,NA
"5 oborotov","",NA,NA
"Nectar Ales","",4.083352,44.127204
"St. Andrews Brewing Co","Glenrothes, Fife, GB",-3.15986,56.200842
"Kirkby Lonsdale","",-2.60171,54.204919
"Derby Brewing Company","Derby, Derby, GB",-1.4746186,52.9225301
"Faergekroen Bryghus","",NA,NA
"Frothy Beard","",NA,NA
"Erzquell Brauerei Bielstein","Wiehl, Nordrhein-Westfalen, DE",7.5103092,50.9708869
"Wild Onion Brewing Co","Lake Barrington, IL, US",-88.167149,42.2122015
"Cellar Maker Brewing Co.","",NA,NA
"Beer Works (Boston, Salem, Hingham, Lowell)","Boston, MA, US",-71.0588801,42.3600825
"Grupa Żywiec","Żywiec, Silesian Voivodeship, PL",19.1823983,49.6912999
"Founding Fathers","",-82.5145714,35.2127344
"Libertau (Liberty + Hallertau)","",NA,NA
"Rhymney Brewery","Merthyr Tydfil, Merthyr Tydfil, GB",-3.278972,51.7446348
"Tatton Brewery","Manchester, Greater Manchester, GB",-2.3493143,53.3872783
"Zavod Trekhsosensky","",NA,NA
"Cerveceria Nacional","",-79.5333533,8.9897713
"Černá Hora","",19.37439,42.708678
"Užavas Alus","",NA,NA
"Collaboration: 21st Amendment / Ninkasi","",NA,NA
"Phantom Canyon Brewing","Colorado Springs, CO, US",-104.8213634,38.8338816
"Hopvine Brewing Company","",NA,NA
"Landi","",24.5928809,59.4504379
"Premium Paulista De Santo André","",NA,NA
"Boundry Bay","",-115.7836425,40.8695144
"Opus Magnum","",72.8187024,19.1266927
"Borambola Wines","",147.6155439,-35.1678982
"23rd Street Brewery","Lawrence, KS, US",-95.2352501,38.9716689
"Boquébière (Microbrasserie de Sherbrooke)","Sherbrooke, Quebec, CA",-71.8824288,45.4009928
"The Exeter Brewery","",-70.9573488,42.9446157
"Karlovačko Pivovara","Karlovac, Karlovačka, HR",NA,NA
"Southern Appalachian Brewery","Hendersonville, NC, US",-82.4609528,35.3187279
"Wolferstetter Bräu","DE",NA,NA
"Run of the Mill Public House and Brewery","Saco, ME, US",-70.4428286,43.5009176
"Kitzmann Bräu","Erlangen,                   DE",11.0119611,49.5896744
"Pitchfork Brewing Company","",NA,NA
"Manzana","",-122.871938,38.4449131
"Czechvar","",NA,NA
"Cervecera Hondurea","",-87.2097255,14.0759226
"Twin Peaks","",-117.2358006,34.2384241
"Northgate Brewing","Minneapolis, MN, US",-93.2650108,44.977753
"Froth Blowers","",NA,NA
"Jaipur Restaurant and Brewpub","Omaha, NE, US",-95.9979883,41.2523634
"Battle Road Brewing Company","Ipswich, MA, US",-70.8411558,42.6791832
"MateVeza Brewing Co.","San Francisco, CA, US",-122.4194155,37.7749295
"Strawn Brewing Company","Fairburn, GA, US",-84.5810418,33.5670562
"Birrificio Gambolò","Vigevano, PV, IT",8.8466726,45.3218787
"Dock Street Brewing Co.","Philadelphia, PA, US",-75.1652215,39.9525839
"North Cotswold Brewery","",-1.9693062,51.7162772
"Brenner Brewing Co.","Milwaukee, WI, US",-87.9064736,43.0389025
"Eagle Creek Brewing","",-82.9751797,39.9157106
"Canoe Brewpub","Victoria, BC, CA",-123.3656444,48.4284207
"Collaboration: SKA/Avery","",NA,NA
"Brickyard Brewing","Woodinville, WA, US",-122.1634582,47.7542651
"Sünner Brauerei und Brennerei","Köln, Nordrhein-Westfalen, DE",6.9602786,50.937531
"Hop Farm Brewing Co.","",NA,NA
"Hofbrauhaus Berchtesgaden","DE",13.0000742,47.6301796
"Twain's Billiards and Tap","Decatur, GA, US",-84.2963123,33.7748275
"Colonial Brewery","Margaret River, WA, AU",115.0735653,-33.9536762
"Okanagan Cider Company","Vancouver, BC, CA",-123.1207375,49.2827291
"Bare Cove (Lion Nathan)","",NA,NA
"Big Lake Brewing","",-118.5101166,36.7018816
"Kaapse Brouwers","",NA,NA
"Davra","",8.9764558,46.1009724
"Tieton Cider Works","Naches, WA, US",-120.699516,46.730958
"Broken Goblet","",-121.5149316,39.7962285
"Deeside","Aboyne, Scotland, GB",-2.674115,57.0859768
"Village Vintner","Algonquin, IL, XX",-88.2942493,42.1655801
"Pennine Brewery Co","",NA,NA
"Brü Room at BAR","New Haven, CT, US",NA,NA
"Collaboration: Sierra Nevada / Allagash","",NA,NA
"Bard's Tale Beer Company","",NA,NA
"The Cronx Brewery","Croydon, Greater London, GB",-0.098234,51.376165
"LWC Drinks","",NA,NA
"Carakale","",NA,NA
"Rhinegeist","",NA,NA
"Wolf's Ridge","",-88.2514795,41.728449
"Barrabool Hills Brewery Company","",NA,NA
"Drentsche Schans","Coevorden, Drenthe, NL",6.7410616,52.6613567
"Pig & Porter","",-86.1699784,37.1328249
"Kent Falls Brewing Co.","",NA,NA
"Bunces Brewery","",NA,NA
"Killkenny","",-7.2447879,52.6541454
"Monks Meadery","Athens, GA, US",-83.357567,33.9519347
"Saint Beer","",-93.4722272,33.0125491
"Trade Route Brewing Company","Pacific, WA, US",-122.2501201,47.2645452
"Farnum Hill Ciders","Lebanon, NH, US",-72.2517569,43.6422934
"Velkopopovický Kozel","",NA,NA
"The Backyard Brewhouse","Norton Canes, Staffordshire, GB",-1.979539,52.669549
"Cigar City Brewing/ Coronado Brewing","",NA,NA
"Hokkaido Brewing Company","小樽市, 北海道, JP",140.9946621,43.1907173
"Clarence & Fredericks","",-78.5919709,42.9767255
"Black Heart Brewery","Brighton, VIC, AU",145.0043117,-37.9056598
"Mussel Inn","",-4.103437,50.331184
"Granville Island Brewing","",NA,NA
"Mispillion River Brewing Company","",NA,NA
"BierNavigatie","",NA,NA
"Cornerstone Brewing Company","Cleveland, OH, US",-81.6943605,41.49932
"Phoenix Beverages","Quatre Bornes, Plaines Wilhems, MU",57.4796981,-20.2674718
"The Big Rip Brewing Company","Kansas City, MO, US",-94.5785667,39.0997265
"Thornbury","",145.0012255,-37.7540674
"Samson","",-86.0460518,31.1129539
"Boulder Dam Brewing Co.","Boulder City, NV, US",-114.8345117,35.9782216
"Oliver Winery","Bloomington, IN, US",-86.5263857,39.165325
"Delta Breweries (SAB Miller)","ZW",NA,NA
"Upslope Brewing / Crooked Stave","",NA,NA
"Paw Paw Brewing Co.","",-85.8911246,42.2178171
"Outstanding Brewing Co","Bury, Lancashire, GB",-2.6276908,53.9690089
"Stod Fold","",-1.9060196,53.7632334
"Cidres Ecusson","",NA,NA
"Gosling's","",-70.0425483,43.7839709
"Brauerei Luzern","Luzern, LU, CH",8.2905042,47.1679023
"Gwatkin's Cider Farm","",NA,NA
"Nigerian Breweries PLC (Heineken)","",NA,NA
"Willimantic Brewing Company","Willimantic, CT, US",-72.2081338,41.7106543
"Duits & Lauret","Utrecht, Utrecht, NL",3.9154585,45.9756018
"Black Swan Brewpub","Plainfield, IN, US",-86.3994387,39.7042123
"Draft Line","",-79.024699,38.0260539
"Madison River Brewing Company","Belgrade, MT, US",-111.1770945,45.7762463
"Czann's Brewing Company","",NA,NA
"Northwest Brewing Company","Pacific, WA, US",-122.2501201,47.2645452
"NZ Craft Beer TV","",NA,NA
"Solvang Brewing Company","Solvang, CA, US",-120.1376481,34.5958201
"Brouwerij De Ryck","Herzele, Oost-Vlaanderen, BE",3.8928472,50.8844221
"Fireman's Brew","Chatsworth, CA, US",-118.61481,34.2506356
"Belhaven Brewery (Greene King)","Dunbar,                   GB",-2.516737,56.002087
"Mississipi Brewing Company","",NA,NA
"Bath Ales","",0.11832,52.2040598
"Crystal Ball Brewing Co.","",NA,NA
"Audacity Brewhouse","",NA,NA
"Tillingbourne Brewery","",NA,NA
"G. Menabrea E Figli","",NA,NA
"Zambia Breweries (SAB Miller)","Lusaka, Lusaka, ZM",28.3228165,-15.3875259
"Barrio Brewing","Tucson, AZ, US",-111.0270359,32.2054528
"Collaboration: Omnipollo / Evil Twin","",NA,NA
"Corner Brewery","Ypsilanti, MI, US",-83.6129939,42.2411499
"Duquesne Bottling Co.","",NA,NA
"Roosters Brewing Company","",NA,NA
"Borealis Fermentery","Two Harbors, MN, US",-91.6707322,47.0227111
"Amager Bryghus / Port Brewing","",12.6051632,55.6107703
"River Leven Ales","GB",-3.435973,55.378051
"Privat-Brauerei Strate","Detmold, NRW, DE",8.868638,51.9384783
"Dawat","",84.2239276,25.2968237
"Kurohime Brewery","",NA,NA
"Peripécia","",NA,NA
"Pub Dog Brewing","Westminster, MD, US",-76.9958149,39.5753791
"Brouwerij Dilewyns / Dock Street Brewing","",NA,NA
"Brown Cow","",-68.7361393,44.1239699
"Coedo And Coronado","",-117.1830891,32.6858853
"Brasserie des Sources","Saint-Amand-les-Eaux, Nord-Pas-de-Calais, FR",3.428713,50.448979
"Piraat","",5.0991885,52.7611221
"Ratio Beerworks","",NA,NA
"Duckstein Brewery","",NA,NA
"Pontoon Brewing Company","",NA,NA
"Hadrian Border Brewery","Newcastle, Tyne and Wear, GB",-1.61778,54.978252
"Kelly Brothers Cider Co.","",NA,NA
"Antares","",-113.808312,35.420208
"Kinney Creek Brewery","Rochester, MN, US",-92.4801989,44.0121221
"Back Bay Brewing Co","",-71.0809757,42.3502648
"La Cress","",18.668388,-33.875386
"Brasserie Licorne (Karlsberg)","Saverne,                   FR",7.361647,48.741963
"Mash House Restaurant and Brewery","Fayetteville, NC, US",-78.8783585,35.0526641
"Jo C's Norfolk Ale","",NA,NA
"Cranker's Brewery","Big Rapids, MI, US",-85.4836557,43.6980782
"CL","",-71.542969,-35.675147
"Hop Farm Brewing Company","",NA,NA
"Breugems Brouwerij","Zaandam, Noord-Holland, NL",4.8291992,52.4420399
"MBG International Premium Brands","Paderborn, NW, DE",NA,NA
"Mudhook Brewing Co","York, PA, US",-76.727745,39.9625984
"Anchor Steam","",-97.6849738,30.5384121
"Lonetree","",-104.8970678,39.536482
"Big Surf Beer Co.","",NA,NA
"Slightly Foxed","",NA,NA
"Bass Brewers (ABInBev)","Burton-on-Trent, Staffordshire, GB",-1.6371359,52.8140281
"Plevna","",-104.5177274,46.4152828
"Nymburk","",15.0436604,50.1855816
"Valholl Brewing","Poulsbo, WA, US",-122.6465372,47.735928
"Von Freude","",NA,NA
"Cervezas 19 Norte","",NA,NA
"Cerveces Moritz SA","",12.0261961,51.9955724
"Batemans","",150.173172,-35.711905
"Beer Cat","",-83.8703149,43.35919
"Huisbrouwerij T'pakhuis Vlaamsekaai 76- 2000 Antwerpen","",4.3878296,51.2073619
"Apple Thief","",-96.174038,48.0983374
"Titanic Brewing Co","Coral Gables, FL, US",-80.2683838,25.72149
"La Jolla Brewing Company","",-117.2712717,32.8328112
"Pivovarna Union","",NA,NA
"Cobra Lounge","",NA,NA
"Tanzanian Breweries Ltd.","",32.9036134,-2.473804
"Dry & Bitter","",-119.7459432,43.0558686
"Dampfbierbrauerei Zwiesel","DE",13.2379307,49.0177574
"Collaboration: North Coast/Rogue/Deschutes","",NA,NA
"Basement Cervejas","Videira, SC, BR",-51.154395,-27.0052075
"B.O.B.'s Brewery","",-118.0644608,36.6035953
"Professor Fritz Briem","DE",NA,NA
"Les Celliers Associés","Pleudihen-sur-Rance, Bretagne, FR",-1.952353,48.510875
"Hazlitt Vineyards","",NA,NA
"Dog Tag Brewing","",NA,NA
"Henney's","",-97.28259,35.4208159
"Goliad Brewing Company","",NA,NA
"The Brewer's Cabinet","Reno, NV, US",-119.8138027,39.5296329
"Hopping Mad","GB",-3.435973,55.378051
"Durango Brewing Company","Durango, CO, US",-107.8800667,37.27528
"Cidres Kerisac","Guenrouet, France, FR",NA,NA
"Bunratty Mead and Liqueir","",NA,NA
"Calapooia Brewing Co.","Albany, OR, US",-123.1059282,44.6365107
"Lake Bluff Brewing Company","Lake Bluff, IL, US",-87.8443151,42.2791365
"Griesedieck Brothers Brewery","",NA,NA
"Birra Venezia","",11.93133,45.41097
"Echigo Beer Co.","新潟市西蒲区, 新潟県, JP",138.8892838,37.7604638
"Pfaffen Brauerei Max Päffgen","Köln,                   DE",6.9602786,50.937531
"Carlsburg","",9.9521637,54.6210885
"Nine Band Brewing Co","",NA,NA
"Licher Privatbrauerei","",NA,NA
"Coyne-Op","",NA,NA
"Black Diamond Brewing Company","Concord, CA, US",-122.0310733,37.9779776
"Big Shoulders Beer Company","Chicago, IL, US",-87.6297982,41.8781136
"Untapped Brewing Co.","Cardiff, Cardiff, GB",-3.17909,51.481581
"Cerveceria Hondureña (SABMiller)","",NA,NA
"Our Mutual Friend Malt & Brew","Denver, CO, US",NA,NA
"Braufactum Progusta","",NA,NA
"Pan Zlatni","",NA,NA
"Ausesken","",NA,NA
"Oedipus","",152.9529405,-27.340374
"Twin Leaf Brewery","",NA,NA
"Cheboygan Brewing Company","",-84.4744795,45.6469563
"Kissingate","",30.8839918,-30.0322437
